	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
פתח	1.34	3.03	4.57	2.31	0.378	0.824	2.73	0.243	0.817	1.77	1.13	0.294	0.63	3.57	1.14	0	0	0	0	3.59	0	0	0	0	0	0	0.356	0.588	1.79	0	1.58	0	0	0.755	0	0	0.865	0.48	0.546
פתשׁגנ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27	0	0	0	0	0
צומ	0	0	0	0	0	0	0	0	0.272	0.393	0	0.587	0.252	0	0	6.9	0	0	4.55	0	0	0	0	0	3.3	0	0.356	0	0	0	0	0	0	1.51	0.386	0.569	0.433	0	0.182
צר	0.134	0.138	0	0.272	0.757	0.824	0	0	0.272	0	0	1.03	0.504	0.357	0	0	1.35	0	0	1.8	3.76	0	0	0	0.826	0	3.08	0.882	0	0	0	0	13.2	1.51	0	0.569	1.3	0.48	0
קצ	0.668	0.138	0	0.136	0.568	0	0.304	0	0.544	0.393	0.226	0.587	0.63	1.07	0	0	1.35	0	0	0	0	3.5	0	0	0	0	0.237	1.18	0	0	0	2.31	2.94	0.755	5.79	0	0.433	0	0.546
קצפ	0	0	0	0.408	0.189	0.549	0	0	0	0	0.226	0.44	0.504	0	1.14	0	0	0	0	0	0	0	0	0	2.48	0	0.237	0	0	0	0	0.769	0	0.755	0	0.569	0	0.24	1.09
ראשׁ	2.67	3.58	7.62	5.58	3.78	4.12	8.51	5.59	8.71	4.52	3.85	4.11	2.02	4.76	3.42	6.9	9.46	8.7	13.6	8.98	3.76	6.99	0	0	4.95	0	4.03	4.12	2.99	0	14.2	2.31	16.2	3.78	5.41	7.96	6.92	17.5	4
רב	0.668	0.138	0.19	0	0.757	0.549	0.912	0.486	0.272	1.57	2.04	1.61	3.4	1.43	4.57	0	0	0	4.55	0	7.52	0	0	0	2.48	0	2.02	3.24	3.59	0	0	4.62	4.41	2.27	1.93	0	0.865	2.64	4.73
רגל	1.74	1.93	2.09	0.68	3.22	3.02	3.34	2.19	4.35	1.18	1.81	2.94	0.63	2.62	0	0	1.35	0	0	0	7.52	6.99	0	0	1.65	3.29	3.68	3.82	4.48	0	1.58	0.769	4.41	0.755	2.7	0	0.433	0.48	0.546
רוח	1.6	1.52	0	1.9	0.378	0.549	3.04	3.89	0.817	2.16	1.13	7.49	2.27	6.19	7.99	4.6	1.35	0	9.09	5.39	0	6.99	0	15.6	7.43	9.87	4.63	9.12	6.28	0	0	18.5	1.47	0.755	5.79	1.14	0.865	1.2	1.82
רחב	0.401	3.03	0	0	0.378	0	0.912	0	0.272	2.16	0	0.44	0.63	6.79	0	0	1.35	0	0	0	3.76	0	0	0	4.13	0	0.237	0.588	1.49	0	1.58	0	4.41	2.27	0.386	0.569	1.73	0	1.46
רכשׁ	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0
רמכה	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
רע	1.07	2.89	0.762	0	4.16	0.275	1.52	1.95	1.63	0.59	0.679	0.881	4.03	0.714	2.28	0	0	0	4.55	3.59	0	3.5	0	0	6.61	3.29	1.3	4.41	9.56	5.59	3.15	1.54	1.47	1.51	0	0	0.433	0.24	0.364
רעה	1.34	0.689	0	0.408	1.32	0	3.65	4.86	3.54	2.56	1.36	0.881	11.2	0.952	6.85	4.6	4.05	8.7	31.8	3.59	7.52	0	0	0	2.48	0	4.03	1.18	6.28	0	0	11.5	4.41	3.78	1.16	0	3.03	0.72	1.27
רעות	0	0.138	0	0	0	0	0	0	0	0	0	0.294	0.126	0	0	0	0	0	0	0	0	0	0	0	0.826	0	0	0	0	0	0	5.38	0	0.755	0	0	0	0	0
רצונ	0.134	0.138	1.33	0	0.378	0	0	0	0	0	0	0.881	0.126	0	0	0	0	0	0	0	0	0	0	0	0	3.29	1.54	0	4.18	0	0	0	0	1.51	1.54	0.569	0.865	0	0.182
רצפה	0	0	0	0	0	0	0	0	0	0	0	0.147	0	0.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0.182
שׁאלה	0	0	0	0	0	0	0.304	0.729	0	0.393	0	0.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119	0.294	0	0	0	0	0	4.53	0.386	0	0	0	0
שׁאר	0	0.138	1.14	0.136	0	0	0	0	0	0	0	1.76	0.126	0	0	0	0	0	0	3.59	0	0	2.99	0	0	3.29	0.356	0	0.598	0	0	0	0	1.51	1.54	6.25	1.3	0.48	0.364
שׁבע	9.62	3.58	8.76	9.79	2.46	4.12	6.99	1.95	2.45	3.74	4.76	1.03	1.26	2.5	0	0	0	0	0	1.8	0	0	0	0	5.78	0	0.474	2.06	1.79	2.79	0	0.769	0	6.8	3.09	12.5	7.35	5.76	4.91
שׁלומ	2	0.414	0.19	0.272	0.946	0.549	3.04	4.38	4.35	2.16	4.53	4.4	3.91	0.833	1.14	0	0	8.7	0	5.39	3.76	0	0	3.91	4.95	6.58	3.2	1.18	0.897	0	1.58	0.769	1.47	2.27	0.386	0.569	0	1.44	1.09
שׁלל	0.134	0.138	0	0.272	1.14	1.37	1.82	2.43	0.817	0	0.226	1.17	0.756	0.595	0	0	0	0	0	0	0	0	0	0	1.65	0	0.237	0	0.897	0	0	0	0	1.51	0.386	0	0	0.48	1.46
שׁלשׁ	6.28	6.07	1.33	10.1	2.08	5.22	10.3	7.05	8.44	8.06	6.11	0.44	1.39	2.86	0	0	14.9	0	13.6	0	0	0	0	0	2.48	0	0	2.94	1.2	0	0	0	0	8.31	3.86	15.3	9.08	13.4	8.01
